GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,310M200US22380,22380,"United States - In metropolitan statistical area - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134437,134626,134182,135978,136612,137637,139097
0100000US,,United States,310M200US22420,22420,"United States - In metropolitan statistical area - Flint, MI Metro Area","Flint, MI Metro Area",425790,425790,425057,421784,418110,415695,412934,410849
0100000US,,United States,310M200US22500,22500,"United States - In metropolitan statistical area - Florence, SC Metro Area","Florence, SC Metro Area",205566,205571,205683,205714,206156,206186,206756,206448
0100000US,,United States,310M200US22520,22520,"United States - In metropolitan statistical area - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147137,147137,147261,147061,147152,147200,147543,146950
0100000US,,United States,310M200US22540,22540,"United States - In metropolitan statistical area - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101633,101633,101712,101898,101856,101865,102010,101973
0100000US,,United States,310M200US22660,22660,"United States - In metropolitan statistical area - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",299630,299630,300524,305314,310970,316618,324657,333577
0100000US,,United States,310M200US22900,22900,"United States - In metropolitan statistical area - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280467,280515,280681,281006,280810,280041,279821,280241
0100000US,,United States,310M200US23060,23060,"United States - In metropolitan statistical area - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416257,416254,416912,419838,421851,424448,426940,429820
0100000US,,United States,310M200US23420,23420,"United States - In metropolitan statistical area - Fresno, CA Metro Area","Fresno, CA Metro Area",930450,930452,932462,940971,947713,955217,964983,974861
0100000US,,United States,310M200US23460,23460,"United States - In metropolitan statistical area - Gadsden, AL Metro Area","Gadsden, AL Metro Area",104430,104427,104442,104236,104235,103852,103452,103057
0100000US,,United States,310M200US23540,23540,"United States - In metropolitan statistical area - Gainesville, FL Metro Area","Gainesville, FL Metro Area",264275,264274,264619,266674,268547,270173,273495,277163
0100000US,,United States,310M200US23580,23580,"United States - In metropolitan statistical area - Gainesville, GA Metro Area","Gainesville, GA Metro Area",179684,179684,180003,182920,185012,187588,190525,193535
0100000US,,United States,310M200US23900,23900,"United States - In metropolitan statistical area - Gettysburg, PA Metro Area","Gettysburg, PA Metro Area",101407,101417,101472,101657,101572,101525,101787,102295
